country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Mongolia,15.1479560897226,65.0613511558615,5.0327096366527,5045.50472602069,,95.5630035400391,4.25799989700317,94.0,,31.4,6.211,72.667,3398366.0
Monaco,,,11.0968262747971,240862.18244774,,,,88.0,,,,,36469.0
Moldova,28.7372976766235,41.2404935723512,-5.01548231924089,5715.28022054154,,106.542778015137,6.14757013320923,84.0,,,0.909,68.621,2538894.0
"Micronesia, Fed. Sts.",5.40874375479067,21.0385813953488,-0.778210116731515,3766.51133457132,,91.5279998779297,,69.0,,,,70.925,114164.0
Mexico,7.8962761916855,42.761030737711,3.94899999903839,11476.6788057764,,102.004783630371,,86.0,,43.5,3.256,74.832,127504125.0
Mauritius,10.7737512242899,55.3543979803709,8.87988518971193,10239.7970461095,,,4.84420013427734,98.0,,,6.322,73.5146341463415,1262523.0
Mauritania,9.52526628622843,49.3333018262165,6.38702309577425,2057.38039245817,,,2.28800010681152,72.0,,,10.602,64.691,4736139.0
Marshall Islands,,46.2726141874507,-0.675525738649768,6225.17922244115,,105.104331970215,6.97757005691528,81.0,,,,65.146,41569.0
Malta,6.15375621933037,165.987107779132,8.07553911825327,34563.3966270232,,93.5346603393555,,96.0,,,2.929,82.7,531113.0
Mali,9.62147608489072,28.993852232951,3.47495171106735,831.223466645115,,,4.03499984741211,70.0,,,3.09,59.417,22593590.0
Maldives,2.33314337624567,,13.9066763800888,11780.8169089988,,,4.58099985122681,98.0,,,4.424,80.839,523787.0
Malaysia,3.37869862549928,76.9501497302441,8.65034422372288,11993.1876132994,,97.754997253418,3.50600004196167,96.0,,,3.93,76.26,33938221.0
Malawi,20.953969729969,,0.923449719368733,643.433195658657,68.0800018310547,126.438003540039,,82.0,,,5.051,62.898,20405317.0
Madagascar,8.16059031991844,30.3737702511328,3.79619908930115,516.772196977613,77.4800033569336,138.192001342773,3.13899993896484,44.0,,,3.186,65.23,29611714.0
"Macao SAR, China",1.04502802369988,86.1276246369981,-21.4019505820285,35192.5278350868,,84.9676666259766,,,,,2.476,85.377,695168.0
Luxembourg,6.33600807777919,211.278205574688,1.38018589083207,125006.021815486,,,4.70302200317383,99.0,5.46,,4.585,83.0463414634146,653103.0
Lithuania,19.7050461518394,86.7990151985414,2.44017546498974,25078.7453655669,,,,87.0,7.46,,5.956,75.7926829268293,2831639.0
Liechtenstein,,,,187267.132380803,,,,,,,,84.319512195122,39327.0
Libya,4.51030149235703,68.0912730518424,1.33614809684626,8211.38094790285,,,,73.0,,,19.319,72.151,6812341.0
Liberia,,,4.80810517290655,754.53284857226,,,2.59500002861023,79.0,,,2.99,61.1,5302681.0
Lesotho,8.27180389943028,47.2244186111779,1.28550412458897,992.857328462257,82.0100021362305,88.6117782592773,6.43300008773804,81.0,,,16.668,53.036,2305825.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3823.93806860546,,,,67.0,,,11.599,74.416,5489739.0
Latvia,17.3102830198815,72.8935254757134,2.95473177143623,21508.4003332167,,99.41796875,,96.0,,,6.815,74.580487804878,1879383.0
Lao PDR,22.9562225132056,,2.70742652643155,2054.43078086496,87.5199966430664,97.2229995727539,1.39400005340576,76.0,,,1.209,68.999,7529475.0
Kyrgyz Republic,13.9229093174176,29.9440526063033,8.96750520041391,1739.79999970559,,94.1910018920898,7.95900011062622,94.0,,26.4,4.055,72.0487804878049,6974900.0
Kuwait,3.98064961990313,,6.13825278548057,42823.8278348699,,,,99.0,,,2.124,80.264,4268873.0
Kosovo,11.5805104542012,38.6256570148792,4.27849850808495,5290.97739696474,,,,,,,,79.524,1768086.0
"Korea, Rep.",5.08951365062842,48.2717642210409,2.61267219187226,32394.6833725203,,99.0333633422852,,97.0,9.72047997,,2.857,82.6804878048781,51672569.0
Kiribati,,7.26019102564103,3.85756676557864,2061.39304132408,,,16.582462310791,85.0,,,,67.661,131232.0
Kenya,7.65986268272224,12.215242879819,4.8466348557707,2099.29856841025,82.879997253418,97.1859970092773,,90.0,,,5.805,62.055,54027487.0
Kazakhstan,15.0278644440851,41.7812771063673,3.19999999970734,11484.4168149009,,100.911003112793,4.20499992370605,99.0,,,4.86,74.44,19634983.0
Jordan,4.22915568897117,,2.42807330466898,4311.0000506816,,,3.24026989936829,76.0,,,18.2,74.215,11285869.0
Japan,2.49770278172255,21.5417231170208,0.954736937781391,34017.2718075024,,,,98.0,,,2.6,83.9963414634146,125124989.0
